版本,說明,2026報酬%,最大回撤%,交易數,進場數,出清勝率%,期末持股,期末
M3,基準 J5＋累計YoY≥30,+78.85,-28.96,61,23,39,5,"8,942,592"
U1,只買對照表v2內（AI硬體製造端）,+92.93,-24.88,61,23,33,5,"9,646,542"
U2,U1＋20日均成交額≥3億,+92.93,-24.88,61,23,33,5,"9,646,542"
U3,U1 但4檔x25%,+83.26,-32.47,58,21,29,4,"9,163,014"
U4,U1 但6檔x16.7%,+80.58,-23.36,74,30,29,6,"9,029,230"
0050,買進持有,+64.08,-15.88,,,,,
