資料月 11507,價格日 2026-09-07,加權 47326,季線 45118,閘門 開,自60日高 -0.9%
代號,名稱,子產業,階段,當月YoY%,上月YoY%,累計YoY%,收盤,乖離20MA%,60MA(出清線),量(張),備註
2344,華邦電,記憶體,成熟(第10條擋),292,190,161,180.0,1.0,176.2,118922,受市場供需影響。
2465,麗臺,伺服器ODM,候選期,281,544,177,102.5,9.3,83.6,6180,本月及本年累計營收較去年同期分別增加280.88%及176.72%，主係受惠於全
3443,創意,IC設計_ASIC,無,158,104,103,5935.0,4.6,4822.8,2131,主要為晶圓產品收入增加
6531,愛普*,IC設計_ASIC,無,145,59,103,960.0,7.2,897.3,2887,因市場需求相對增加所致
2467,志聖,PCB設備,無,133,94,87,619.0,7.8,564.0,1069,係因客戶需求提升，以致115年7月單月營收成長率較去年同期增加132.73%；1
2382,廣達,伺服器ODM,候選期,131,103,93,347.5,4.8,341.2,13614,產品組合變更
4967,十銓,記憶體,成熟(第10條擋),99,35,71,277.5,1.7,256.2,3402,因出貨量增加及銷售單價上漲所致。
6213,聯茂,PCB_CCL,主軸,97,48,35,513.0,0.0,389.9,12259,受惠於漲價效應和AI相關需求成長
3653,健策,散熱,無,91,58,36,5655.0,5.4,4168.9,802,因客戶端需求成長，致本月較去年同期增加百分比達50%以上。
2368,金像電,PCB_CCL,主軸,77,78,70,1120.0,6.4,1067.6,8130,接單量增加
6770,力積電,晶圓代工,候選期,71,69,43,72.9,3.1,69.6,242829,主係客戶需求上升，銷售量增加，銷售價格調漲。
2376,技嘉,伺服器ODM,候選期,60,69,50,364.5,2.1,344.1,5309,AI訂單需求暢旺
8996,高力,散熱,無,58,38,115,1240.0,3.2,1206.4,8775,說明:本年累計營收較去年同期增加115.43%，主要係板式熱交換器及熱能產品年度
3017,奇鋐,散熱,無,57,66,80,3420.0,8.0,2669.4,3303,"因客戶需求增加,使營收成長"
3044,健鼎,PCB_CCL,主軸,57,42,35,493.0,2.3,462.3,1734,主係因客戶訂單需求及出貨增加所致
3706,神達,伺服器ODM,候選期,50,81,46,92.6,0.7,89.8,9948,-
1597,直得,機器人自動化,候選期,48,45,45,152.0,6.4,139.8,5812,-
2308,台達電,電源,候選期,48,55,42,1850.0,2.8,1847.9,7560,-
2330,台積電,晶圓代工,候選期,45,68,37,2460.0,2.4,2394.2,26898,-
2605,新興,航運,候選期,36,52,35,36.35,3.9,32.4,7665,-
4540,全球傳動,機器人自動化,候選期,36,31,44,59.8,0.7,57.0,2336,-
