代號,名稱,市場,產業,當月營收(千元),當月YoY%,累計YoY%,第二月依據,公司備註
8040,九暘,上櫃,半導體業,83887.0,42.5,32.0,累計YoY 32.0%（無上月快照）,-
2486,一詮,上市,光電業,739794.0,42.5,27.5,累計YoY 27.5%（無上月快照）,-
4534,慶騰,上櫃,電機機械,116476.0,42.5,32.7,累計YoY 32.7%（無上月快照）,-
6282,康舒,上市,電子零組件業,3263384.0,42.5,27.3,累計YoY 27.3%（無上月快照）,-
3131,弘塑,上櫃,半導體業,792895.0,42.4,20.1,累計YoY 20.1%（無上月快照）,-
6753,龍德造船,上市,航運業,519142.0,42.3,23.6,累計YoY 23.6%（無上月快照）,-
8473,山林水,上市,綠能環保,441261.0,42.2,15.6,累計YoY 15.6%（無上月快照）,-
2945,三商家購,上市,貿易百貨,1804636.0,42.1,27.9,累計YoY 27.9%（無上月快照）,-
2241,艾姆勒,上市,汽車工業,80051.0,42.1,46.3,累計YoY 46.3%（無上月快照）,-
5328,華容,上櫃,電子零組件業,99219.0,42.0,25.0,累計YoY 25.0%（無上月快照）,-
2492,華新科,上市,電子零組件業,4443982.0,42.0,18.7,累計YoY 18.7%（無上月快照）,-
2441,超豐,上市,半導體業,1998127.0,41.7,24.7,累計YoY 24.7%（無上月快照）,-
2734,易飛網,上櫃,觀光餐旅,216192.0,41.6,29.6,累計YoY 29.6%（無上月快照）,-
8210,勤誠,上市,電腦及週邊設備業,2462300.0,41.5,53.4,累計YoY 53.4%（無上月快照）,終端客戶所需產品大量出貨
3526,凡甲,上櫃,電子零組件業,403504.0,41.4,27.1,累計YoY 27.1%（無上月快照）,-
4510,高鋒,上櫃,電機機械,186015.0,41.3,28.0,累計YoY 28.0%（無上月快照）,-
4161,聿新科,上櫃,生技醫療業,95489.0,41.3,22.8,累計YoY 22.8%（無上月快照）,-
2061,風青,上櫃,電器電纜,126081.0,41.3,15.9,累計YoY 15.9%（無上月快照）,-
3390,旭軟,上櫃,電子零組件業,85919.0,41.3,30.6,累計YoY 30.6%（無上月快照）,-
2030,彰源,上市,鋼鐵工業,1078093.0,41.2,15.7,累計YoY 15.7%（無上月快照）,-
6997,博弘,上櫃,數位雲端,503748.0,41.2,31.2,累計YoY 31.2%（無上月快照）,-
6202,盛群,上市,半導體業,365463.0,40.8,15.6,累計YoY 15.6%（無上月快照）,-
6174,安碁,上櫃,電子零組件業,75458.0,40.7,25.2,累計YoY 25.2%（無上月快照）,-
3312,弘憶股,上市,電子通路業,2603514.0,40.7,16.2,累計YoY 16.2%（無上月快照）,-
6175,立敦,上櫃,電子零組件業,474537.0,40.6,19.4,累計YoY 19.4%（無上月快照）,-
5426,振發,上櫃,電腦及週邊設備業,224969.0,40.5,17.4,累計YoY 17.4%（無上月快照）,-
1617,榮星,上市,電器電纜,419782.0,40.4,28.3,累計YoY 28.3%（無上月快照）,-
8042,金山電,上櫃,電子零組件業,436935.0,40.3,36.0,累計YoY 36.0%（無上月快照）,-
5484,慧友,上市,光電業,51112.0,39.8,106.6,累計YoY 106.6%（無上月快照）,係因有接到代工訂單
1213,大飲,上市,食品工業,32555.0,39.8,15.6,累計YoY 15.6%（無上月快照）,-
8374,羅昇,上市,電機機械,516799.0,39.8,38.7,累計YoY 38.7%（無上月快照）,-
6606,建德工業,上市,電機機械,90532.0,39.7,23.7,累計YoY 23.7%（無上月快照）,-
6264,富裔,上櫃,建材營造,2478.0,39.7,36.9,累計YoY 36.9%（無上月快照）,收入較去年同月增加，主係本年度子公司富永營造收入增加所致。
4971,IET-KY,上櫃,半導體業,105081.0,39.6,18.8,累計YoY 18.8%（無上月快照）,-
3141,晶宏,上櫃,半導體業,215671.0,39.6,16.0,累計YoY 16.0%（無上月快照）,-
6291,沛亨,上櫃,半導體業,244174.0,39.4,41.8,累計YoY 41.8%（無上月快照）,-
4148,全宇生技-KY,上市,生技醫療業,352962.0,39.3,22.6,累計YoY 22.6%（無上月快照）,-
6669,緯穎,上市,電腦及週邊設備業,117685530.0,39.2,41.3,累計YoY 41.3%（無上月快照）,-
6147,頎邦,上櫃,半導體業,2522679.0,39.2,20.9,累計YoY 20.9%（無上月快照）,-
4541,晟田,上櫃,其他,194527.0,39.2,34.2,累計YoY 34.2%（無上月快照）,-
8071,能率網通,上櫃,電子零組件業,220002.0,39.1,20.1,累計YoY 20.1%（無上月快照）,-
4741,泓瀚,上櫃,化學工業,52442.0,39.1,19.8,累計YoY 19.8%（無上月快照）,-
4807,日成-KY,上市,貿易百貨,242998.0,38.7,29.4,累計YoY 29.4%（無上月快照）,-
8488,吉源-KY,上市,其他,316874.0,38.7,54.2,累計YoY 54.2%（無上月快照）,主要係今年度訂單增加
4726,永昕,上櫃,生技醫療業,85963.0,38.6,25.8,累計YoY 25.8%（無上月快照）,-
2221,大甲,上櫃,其他,139767.0,38.5,21.7,累計YoY 21.7%（無上月快照）,-
6874,倍力,上櫃,資訊服務業,117427.0,38.5,50.1,累計YoY 50.1%（無上月快照）,客戶需求調整
3550,聯穎,上市,電子零組件業,412542.0,38.3,29.0,累計YoY 29.0%（無上月快照）,-
2324,仁寶,上市,電腦及週邊設備業,81005761.0,38.3,18.8,累計YoY 18.8%（無上月快照）,無
6206,飛捷,上市,電腦及週邊設備業,568481.0,38.2,26.4,累計YoY 26.4%（無上月快照）,-
3030,德律,上市,其他電子業,1033409.0,38.2,26.7,累計YoY 26.7%（無上月快照）,-
6166,凌華,上市,電腦及週邊設備業,1426503.0,38.2,40.6,累計YoY 40.6%（無上月快照）,-
5607,遠雄港,上市,航運業,514899.0,38.0,36.7,累計YoY 36.7%（無上月快照）,-
6727,亞泰金屬,上櫃,電子零組件業,194214.0,37.9,68.9,累計YoY 68.9%（無上月快照）,當月認列台數較多
5609,中菲行,上櫃,航運業,3269476.0,37.8,18.3,累計YoY 18.3%（無上月快照）,-
5471,松翰,上市,半導體業,315750.0,37.7,30.0,累計YoY 30.0%（無上月快照）,-
2301,光寶科,上市,電腦及週邊設備業,19005536.0,37.6,27.0,累計YoY 27.0%（無上月快照）,-
2401,凌陽,上市,半導體業,745822.0,37.6,22.1,累計YoY 22.1%（無上月快照）,-
5464,霖宏,上櫃,電子零組件業,100839.0,37.5,31.3,累計YoY 31.3%（無上月快照）,-
6982,大井泵浦,上櫃,電機機械,140493.0,37.2,21.1,累計YoY 21.1%（無上月快照）,-
6215,和椿,上市,其他電子業,378154.0,37.2,50.4,累計YoY 50.4%（無上月快照）,自動化零組件及設備需求增加
2483,百容,上市,電子零組件業,201159.0,37.2,20.2,累計YoY 20.2%（無上月快照）,-
3071,協禧,上櫃,電腦及週邊設備業,258660.0,37.1,35.4,累計YoY 35.4%（無上月快照）,-
7717,萊德光電-KY,上櫃,通信網路業,109057.0,37.1,26.3,累計YoY 26.3%（無上月快照）,-
3026,禾伸堂,上市,電子零組件業,1500937.0,37.0,18.6,累計YoY 18.6%（無上月快照）,-
3402,漢科,上櫃,其他電子業,592044.0,36.8,19.6,累計YoY 19.6%（無上月快照）,-
8415,大國鋼,上櫃,鋼鐵工業,2666400.0,36.8,21.4,累計YoY 21.4%（無上月快照）,-
2449,京元電子,上市,半導體業,3990702.0,36.7,36.2,累計YoY 36.2%（無上月快照）,"以上不含停業部門營收:115年7月0仟元暨114年7月0仟元;115年1~7月0仟元暨114年1~7月985,800仟元。"
8028,昇陽半導體,上市,半導體業,514661.0,36.5,29.6,累計YoY 29.6%（無上月快照）,-
7814,海昌生技,上櫃,生技醫療業,13686.0,36.5,51.1,累計YoY 51.1%（無上月快照）,主係客戶需求增加所致
3060,銘異,上市,電腦及週邊設備業,385721.0,36.4,20.0,累計YoY 20.0%（無上月快照）,-
6741,91APP*-KY,上櫃,數位雲端,184496.0,36.4,32.4,累計YoY 32.4%（無上月快照）,-
2605,新興,上市,航運業,478915.0,36.3,35.1,累計YoY 35.1%（無上月快照）,-
2472,立隆電,上市,電子零組件業,1327811.0,36.2,20.8,累計YoY 20.8%（無上月快照）,-
3189,景碩,上市,半導體業,4548833.0,35.9,30.7,累計YoY 30.7%（無上月快照）,-
6870,騰雲,上櫃,數位雲端,90325.0,35.8,47.1,累計YoY 47.1%（無上月快照）,-
4540,全球傳動,上市,電機機械,306150.0,35.7,43.6,累計YoY 43.6%（無上月快照）,-
8099,大世科,上櫃,資訊服務業,387394.0,35.6,32.9,累計YoY 32.9%（無上月快照）,-
3597,映興,上櫃,電子零組件業,97879.0,35.6,17.5,累計YoY 17.5%（無上月快照）,-
3236,千如,上櫃,電子零組件業,247607.0,35.5,21.4,累計YoY 21.4%（無上月快照）,-
4905,台聯電,上櫃,生技醫療業,104164.0,35.4,33.7,累計YoY 33.7%（無上月快照）,-
6548,長科*,上櫃,半導體業,1555599.0,35.4,25.9,累計YoY 25.9%（無上月快照）,-
5284,jpp-KY,上市,其他,420741.0,35.3,42.4,累計YoY 42.4%（無上月快照）,-
6449,鈺邦,上市,電子零組件業,505817.0,34.8,24.2,累計YoY 24.2%（無上月快照）,-
8016,矽創,上市,半導體業,2035657.0,34.5,29.7,累計YoY 29.7%（無上月快照）,-
4582,聚恆-創,上市,綠能環保,105327.0,34.5,151.6,累計YoY 151.6%（無上月快照）,主係因採用完工比例法認列進度時點差異所致。
6568,宏觀,上櫃,半導體業,105911.0,34.3,19.7,累計YoY 19.7%（無上月快照）,-
8103,瀚荃,上市,電子零組件業,395463.0,34.3,27.6,累計YoY 27.6%（無上月快照）,係本公司自結合併營收
2369,菱生,上市,半導體業,641835.0,34.2,36.8,累計YoY 36.8%（無上月快照）,-
2617,台航,上市,航運業,454515.0,34.1,18.5,累計YoY 18.5%（無上月快照）,-
2049,上銀,上市,電機機械,2681646.0,33.9,20.4,累計YoY 20.4%（無上月快照）,-
4555,氣立,上市,電機機械,182883.0,33.8,15.5,累計YoY 15.5%（無上月快照）,-
8070,長華*,上市,電子通路業,2232043.0,33.6,26.2,累計YoY 26.2%（無上月快照）,-
1773,勝一,上市,化學工業,1336524.0,33.6,21.0,累計YoY 21.0%（無上月快照）,-
5488,松普,上櫃,電子零組件業,85256.0,33.4,39.7,累計YoY 39.7%（無上月快照）,-
4953,緯致,上櫃,資訊服務業,1273547.0,33.4,31.3,累計YoY 31.3%（無上月快照）,-
6996,力領科技,上櫃,半導體業,255402.0,33.3,28.2,累計YoY 28.2%（無上月快照）,-
6109,亞元,上櫃,通信網路業,75544.0,33.2,20.6,累計YoY 20.6%（無上月快照）,-
3467,台灣精材,上櫃,半導體業,68667.0,33.1,23.2,累計YoY 23.2%（無上月快照）,-
2949,欣新網,上櫃,數位雲端,533608.0,33.1,24.2,累計YoY 24.2%（無上月快照）,-
3158,嘉實,上櫃,資訊服務業,106191.0,32.9,19.0,累計YoY 19.0%（無上月快照）,-
6584,南俊國際,上櫃,電子零組件業,280305.0,32.8,52.0,累計YoY 52.0%（無上月快照）,主係雲端CSP客戶的GB系列AI伺服器導軌持續出貨以及通用型伺服器導軌出貨增溫所致
2108,南帝,上市,橡膠工業,1028039.0,32.7,24.7,累計YoY 24.7%（無上月快照）,-
6655,科定,上市,其他,306978.0,32.7,27.5,累計YoY 27.5%（無上月快照）,-
2103,台橡,上市,橡膠工業,3641846.0,32.5,16.2,累計YoY 16.2%（無上月快照）,-
3530,晶相光,上市,半導體業,172444.0,32.5,40.3,累計YoY 40.3%（無上月快照）,-
7794,宏碁智新,上櫃,居家生活,135765.0,32.5,34.2,累計YoY 34.2%（無上月快照）,-
6703,軒郁,上櫃,生技醫療業,264207.0,32.5,15.8,累計YoY 15.8%（無上月快照）,-
1727,中華化,上市,化學工業,235237.0,32.5,21.4,累計YoY 21.4%（無上月快照）,-
2489,瑞軒,上市,光電業,2690629.0,32.2,15.5,累計YoY 15.5%（無上月快照）,-
8121,越峰,上櫃,電子零組件業,313384.0,32.2,22.2,累計YoY 22.2%（無上月快照）,-
3013,晟銘電,上市,電腦及週邊設備業,824611.0,32.1,23.1,累計YoY 23.1%（無上月快照）,-
3094,聯傑,上市,半導體業,21836.0,32.1,15.3,累計YoY 15.3%（無上月快照）,-
7780,大研生醫*,上市,食品工業,197244.0,32.1,36.0,累計YoY 36.0%（無上月快照）,-
6872,浩宇生醫,上櫃,生技醫療業,795.0,32.1,317.8,累計YoY 317.8%（無上月快照）,主係銷售醫療器材之收入增加所致
6525,捷敏-KY,上市,半導體業,614164.0,32.0,18.1,累計YoY 18.1%（無上月快照）,-
4566,時碩工業,上市,電機機械,554718.0,31.9,16.0,累計YoY 16.0%（無上月快照）,-
5410,國眾,上櫃,資訊服務業,406263.0,31.8,50.7,累計YoY 50.7%（無上月快照）,本期營收較去年同期大幅增加主要係專案收入增加所致
6214,精誠,上市,資訊服務業,4744529.0,31.8,36.2,累計YoY 36.2%（無上月快照）,-
4958,臻鼎-KY,上市,電子零組件業,17600546.0,31.8,16.5,累計YoY 16.5%（無上月快照）,-
2421,建準,上市,電子零組件業,2119438.0,31.7,20.3,累計YoY 20.3%（無上月快照）,-
5468,凱鈺,上櫃,半導體業,9304.0,31.5,46.4,累計YoY 46.4%（無上月快照）,-
3010,華立,上市,電子通路業,8540313.0,31.4,19.6,累計YoY 19.6%（無上月快照）,-
3555,博士旺,上櫃,半導體業,78823.0,31.4,445.8,累計YoY 445.8%（無上月快照）,本月因銷售電子產品，致本月及累計營收較去年同期增加。
5014,建錩,上櫃,鋼鐵工業,1664278.0,31.4,16.1,累計YoY 16.1%（無上月快照）,-
3303,岱稜,上櫃,其他電子業,346240.0,31.3,19.0,累計YoY 19.0%（無上月快照）,-
6831,邁科,上市,電腦及週邊設備業,553187.0,31.2,20.9,累計YoY 20.9%（無上月快照）,-
3105,穩懋,上櫃,半導體業,1892049.0,31.2,33.4,累計YoY 33.4%（無上月快照）,-
4979,華星光,上櫃,通信網路業,508777.0,31.0,17.6,累計YoY 17.6%（無上月快照）,-
2481,強茂,上市,半導體業,1447660.0,31.0,16.5,累計YoY 16.5%（無上月快照）,-
3374,精材,上櫃,半導體業,860894.0,31.0,32.6,累計YoY 32.6%（無上月快照）,-
6277,宏正,上市,電腦及週邊設備業,476641.0,30.9,15.2,累計YoY 15.2%（無上月快照）,-
5515,建國,上市,建材營造,697885.0,30.8,28.1,累計YoY 28.1%（無上月快照）,-
6902,GOGOLOOK,上市,數位雲端,109746.0,30.8,28.0,累計YoY 28.0%（無上月快照）,-
1419,新紡,上市,紡織纖維,429159.0,30.7,28.4,累計YoY 28.4%（無上月快照）,-
3707,漢磊,上櫃,半導體業,647766.0,30.6,25.9,累計YoY 25.9%（無上月快照）,-
2527,宏璟,上市,建材營造,166277.0,30.5,1500.3,累計YoY 1500.3%（無上月快照）,本年累計營收較去年同期高，主要係因今年有大型工案認列收入所致。
6645,金萬林-創,上市,生技醫療業,63149.0,30.4,23.6,累計YoY 23.6%（無上月快照）,-
4560,強信-KY,上市,電機機械,170192.0,30.4,15.3,累計YoY 15.3%（無上月快照）,-
5347,世界,上櫃,半導體業,4705722.0,30.3,15.5,累計YoY 15.5%（無上月快照）,-
6664,群翊,上櫃,電子零組件業,274733.0,30.2,16.7,累計YoY 16.7%（無上月快照）,-
3413,京鼎,上市,半導體業,2162154.0,30.1,19.5,累計YoY 19.5%（無上月快照）,-
