日期,商品名稱,身份別,多方交易口數,多方交易契約金額,空方交易口數,空方交易契約金額,多空交易口數淨額,多空交易契約金額淨額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空未平倉口數淨額,多空未平倉契約金額淨額
2026/01/26,臺股期貨,外資及陸資,49769,320158857,53630,344947896,-3861,-24789039,17833,114669203,44360,285255696,-26527,-170586493
2026/01/27,臺股期貨,自營商,8223,53223847,8495,54978392,-272,-1754545,3400,22118261,6236,40555560,-2836,-18437299
2026/01/27,臺股期貨,投信,406,2638854,77,500473,329,2138382,30762,199983762,4995,32472495,25767,167511267
2026/01/27,臺股期貨,外資及陸資,48951,316550168,47739,308717758,1212,7832410,19233,125036487,44551,289640638,-25318,-164604151
2026/01/28,臺股期貨,自營商,8807,57670341,8525,55839564,282,1830777,3710,24445037,6287,41414373,-2577,-16969336
2026/01/28,臺股期貨,投信,763,5024977,68,447795,695,4577182,31336,206347560,4874,32095290,26462,174252270
2026/01/28,臺股期貨,外資及陸資,41588,272176539,44202,289235182,-2614,-17058643,18558,122207743,46490,306152370,-27932,-183944627
2026/01/29,臺股期貨,自營商,12369,81264487,10525,69149672,1844,12114815,5413,35496807,6241,40931494,-828,-5434687
2026/01/29,臺股期貨,投信,11,72092,88,576911,-77,-504819,31283,205053808,4898,32105410,26385,172948398
2026/01/29,臺股期貨,外資及陸資,62742,412348555,67512,443820243,-4770,-31471688,17591,115310072,50293,329682362,-32702,-214372290
2026/01/30,臺股期貨,自營商,16304,105364029,15868,102580241,436,2783788,6250,40338122,6646,42895727,-396,-2557605
2026/01/30,臺股期貨,投信,110,709631,928,5989595,-818,-5279964,30605,197414492,5038,32497115,25567,164917377
2026/01/30,臺股期貨,外資及陸資,79742,515683290,79684,515327649,58,355641,17509,112945991,50179,323705906,-32670,-210759915
2026/02/02,臺股期貨,自營商,17302,110010174,16705,106294944,597,3715230,6542,41394779,6331,40056173,211,1338606
2026/02/02,臺股期貨,投信,359,2270260,526,3326859,-167,-1056600,30636,193718656,5236,33108275,25400,160610381
2026/02/02,臺股期貨,外資及陸資,104925,667828911,99850,635515192,5075,32313720,21490,135891213,49163,310899625,-27673,-175008412
2026/02/03,臺股期貨,自營商,10207,65636876,11172,71844882,-965,-6208006,6075,39254187,6843,44206272,-768,-4952085
2026/02/03,臺股期貨,投信,1032,6662449,253,1625634,779,5036815,31227,201627678,5048,32593926,26179,169033752
2026/02/03,臺股期貨,外資及陸資,68492,440249132,67400,433312783,1092,6936349,22831,147424776,49327,318530535,-26496,-171105759
