代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-05-11,收盤2026-06-09,報酬%,備註
7610,聯友金屬-創,上市,345.3,959.0,830.0,1915.0,130.72,4月單月及累積合併營收較去年同期分別增加345%及425%，主要在於鎢製品出貨價格較去年同期增加所致。
3528,安馳,上市,83.2,132.4,82.5,133.0,61.21,AI伺服器應用帶動測試相關需求增加，周邊電源應用及工控需求上升。
6834,天二科技,上市,32.2,32.6,47.85,75.0,56.74,-
8926,台汽電,上市,532.8,594.0,51.5,73.5,42.72,本月及累計合併營業收入較去年同期增加，主要係自115年起因將森霸、星電、星元納入為子公司，故併入合併營收計算。
6239,力成,上市,32.5,35.1,225.5,321.0,42.35,-
1714,和桐,上市,71.7,43.0,9.81,13.9,41.69,115年4月營收較去年同期增加達50%以上，主係產品銷量、售價皆較去年同期增加。
2356,英業達,上市,36.5,47.1,50.2,70.6,40.64,-
6446,藥華藥,上市,68.3,64.3,706.0,990.0,40.23,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp.之營收。
2495,普安,上市,36.7,61.0,36.35,50.4,38.65,-
4739,康普,上市,96.2,103.6,95.5,130.0,36.13,本月營收及累計營收較去年同期增加，主係動力電池材料銷售增加。
6209,今國光,上市,66.9,75.6,65.8,88.0,33.74,客戶需求增加。
2344,華邦電,上市,182.2,91.5,117.5,156.5,33.19,受市場供需影響。
2882,國泰金,上市,153.9,199.9,78.4,104.0,32.65,本月及本年營業收入淨額較去年同期增加，主係投資收益增加所致。
2305,全友,上市,81.1,74.9,17.55,23.0,31.05,"受惠於AI及大數據發展,光電子設備需求強勁"
2881,富邦金,上市,219.8,139.0,95.5,125.0,30.89,本月及本年累計營業收入較去年本月及去年累計營業收入增加，主係投資相關淨收益增加所致。
2025,千興,上市,112.0,127.2,11.7,15.3,30.77,本月及本年累計營收較去年同期增加，係受鎳價上漲等因素影響，帶動不袗價調漲，客戶需求增加，使接單量亦增加。
3167,大量,上市,114.2,146.8,728.0,951.0,30.63,主係因客戶需求量增加所致
2883,凱基金,上市,144.3,275.4,22.8,29.05,27.41,本月及累計營業收入較去年同期增加，主係投資相關淨收益增加所致。
8996,高力,上市,86.0,205.3,1055.0,1330.0,26.07,115年4月營收較去年同期增加86.03%，主要係板式熱交換器及熱能產品之營業額，較去年同期分別增加11.40%及增加1
6005,群益證,上市,301.6,53.3,32.25,40.65,26.05,主係自營操作獲利增加及成交量增加致經紀手續費收入增加
2887,台新新光金,上市,673.6,1118.8,23.45,29.55,26.01,本年度新增新光子公司
2891,中信金,上市,1120.6,31.5,55.3,69.2,25.14,係因股市波動，受託買賣手續費收入、有價證券相關出售利益及評價利益、兌換損益(含避險損益)增加所致
2357,華碩,上市,45.7,33.8,686.0,850.0,23.91,-
2314,台揚,上市,89.9,98.1,12.6,15.55,23.41,主要係客戶需求上升故營收增加
2059,川湖,上市,79.1,38.9,5520.0,6795.0,23.10,新產品開始出貨，導致年對年營收增幅較大。
3305,昇貿,上市,60.2,72.7,117.0,142.0,21.37,銷售量增加及原料價格上漲
2408,南亞科,上市,717.3,560.0,301.0,363.0,20.60,受市場需求成長影響。
3231,緯創,上市,112.0,117.7,139.0,165.5,19.06,主係客戶需求增加，較去年同期成長。
8021,尖點,上市,63.2,51.4,429.0,506.0,17.95,本月增減百分比或本年增減百分比達50%以上：主要係市場需求增加所致。
1342,八貫,上市,44.5,31.7,95.5,111.5,16.75,-
9906,欣巴巴,上市,995635.7,2226086.7,36.2,42.05,16.16,本月營收與去年同期之差異，主係本月新個案仍持續入帳。
2404,漢唐,上市,102.2,100.6,1025.0,1190.0,16.10,"營收較去年同期增加50%以上,係因本月正在投入進行的專案較去年同期增加所致。"
6885,全福生技,上市,2152.9,3548.5,22.6,26.1,15.49,諮詢服務收入、含子公司營業收入
1449,佳和,上市,75.5,33.6,14.2,16.35,15.14,營收回穩及合併子公司營收
3025,星通,上市,76.5,85.8,62.8,72.2,14.97,國內出貨增加
2885,元大金,上市,324.9,70.2,56.5,64.8,14.69,本月及本年營業收入淨額較去年同期增加，主係分離帳戶保險商品資產淨損益、手續費及佣金淨損益增加所致。
6901,鑽石投資,上市,331.1,86.9,14.05,16.0,13.88,營業收入為股利收入及投資標的之評價損益(含已實現及未實現)，投資標的股數及公允價值變動情形，請參考本公司網站投資人專區。
1533,車王電,上市,72.8,62.4,33.85,38.5,13.74,"本月營收較去年同期增加200,833仟元，主要係電動巴士營收增加約217,031仟元所致。"
2890,永豐金,上市,87.4,50.7,30.6,34.25,11.93,本月及本年累計營業收入較去年本月及去年累計營業收入增加，係因合併京城銀行，使整體營業收入較去年成長所致。
3135,凌航,上市,607.8,140.5,194.5,216.5,11.31,市場價格上漲及需求增加。
1503,士電,上市,32.5,35.3,206.5,229.5,11.14,-
2376,技嘉,上市,73.7,74.8,324.5,359.0,10.63,AI訂單需求暢旺
6139,亞翔,上市,70.6,47.5,679.0,749.0,10.31,主要係工程進入施工高峰期，致本月營收較去年同期大幅增加。
2382,廣達,上市,120.7,88.4,343.5,375.0,9.17,產品組合變更
7769,鴻勁,上市,111.8,111.3,6380.0,6945.0,8.86,主要係因市場需求較去年同期成長所致。
2308,台達電,上市,43.9,37.6,2245.0,2415.0,7.57,-
1762,中化生,上市,76.0,108.8,37.55,40.3,7.32,客戶訂單需求增加，故當月及本年度累計營業收入皆較去年同期成長。
1808,潤隆,上市,6493.7,68259.9,28.9,30.95,7.09,營收變動主要係本年度完工建案已陸續過戶交屋認列房地出售收入所致。
2368,金像電,上市,58.4,63.1,1400.0,1495.0,6.79,接單量增加
2880,華南金,上市,59.6,32.6,33.25,35.45,6.62,本月營業收入較去年本月營業收入增加，係投資相關淨收益增加所致
1583,程泰,上市,40.7,44.3,49.0,52.0,6.12,-
3706,神達,上市,31.9,43.2,86.8,91.8,5.76,-
6776,展眥篕,上市,46.0,47.4,58.1,61.3,5.51,-
2347,聯強,上市,83.3,64.4,86.4,91.0,5.32,本月營收較去年同期增加83%，主係受惠於AI建置熱潮帶動資料中心相關產品市場需求所致；另自結數前期調整列入累計營收
8112,至上,上市,56.0,191.7,86.8,91.2,5.07,營收大幅成長，主要係記憶體等零組件價格持續上漲，伺服器及手機客戶拉貨動能強勁所致。
8374,羅昇,上市,62.7,43.6,89.5,94.0,5.03,因AI機器人、半導體、節能、能源產品出貨較去年同期增加，故本月營收變動達62.73%
