代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-04-13,收盤2026-05-11,報酬%,備註
6861,睿生光電,上市,52.6,44.0,132.5,389.0,193.58,客戶需求量增加
3443,創意,上市,33.5,60.1,2775.0,5730.0,106.49,主要為晶圓產品收入增加
8210,勤誠,上市,44.7,49.6,900.0,1555.0,72.78,終端客戶所需產品大量出貨
6531,愛普*,上市,112.6,146.7,567.0,962.0,69.66,因市場需求相對增加所致
3135,凌航,上市,140.5,104.1,116.0,194.5,67.67,市場價格上漲及需求增加。
2059,川湖,上市,38.9,31.1,3335.0,5520.0,65.52,-
8271,宇瞻,上市,292.7,193.8,156.0,256.0,64.10,本月營收較去年同期增加係因市場價格大幅上漲所致
7769,鴻勁,上市,111.3,57.0,4100.0,6380.0,55.61,主要係因市場需求較去年同期成長所致。
7610,聯友金屬-創,上市,959.0,252.9,547.0,830.0,51.74,3月單月及累積合併營收較去年同期分別增加959%及484%，主要在於鎢製品出貨價格及數量較去年同期增加，以及產品品項增加
4540,全球傳動,上市,75.0,34.4,47.2,69.5,47.25,傳動系統元件產品訂單需求上升，使本期營業收入增加。
2383,台光電,上市,56.6,45.0,3325.0,4850.0,45.86,受惠於AI伺服器成長力道
2345,智邦,上市,44.4,82.7,1820.0,2590.0,42.31,客戶需求增加
2465,麗臺,上市,83.1,127.4,61.7,86.9,40.84,本月及本年累計營收較去年同期分別增加83.15%及91.29%，主係受惠於台灣市場之人工智能應用相關產品需求所致。
2451,創見,上市,380.6,246.3,245.0,343.5,40.20,本月營收較去年同期增加主係市場價格上漲所致
3006,晶豪科,上市,188.1,128.4,159.5,222.0,39.18,本期營收較前期成長係因產品市場需求復甦
1762,中化生,上市,108.8,161.3,28.1,37.55,33.63,"客戶訂單需求增加,故當月及本年度累計營收皆較去年同期成長。"
2408,南亞科,上市,560.0,586.7,225.5,301.0,33.48,受市場需求復甦影響。
2368,金像電,上市,63.1,53.9,1055.0,1400.0,32.70,接單量增加
6831,邁科,上市,38.2,43.9,449.5,594.0,32.15,業績成長
2363,矽統,上市,30.9,210.9,46.75,61.0,30.48,季節性影響
2308,台達電,上市,37.6,31.0,1740.0,2245.0,29.02,-
3028,增你強,上市,125.2,44.5,59.8,75.5,26.25,"主要係因記憶體價格持續上漲,客戶需求增加所致。"
2360,致茂,上市,63.5,86.0,1880.0,2360.0,25.53,訂單續增、營運穩健
2344,華邦電,上市,91.5,88.5,94.4,117.5,24.47,受市場供需影響。
3432,台端,上市,297.5,477.0,16.15,19.95,23.53,主係因增加新產品出貨所致
2376,技嘉,上市,74.8,47.4,264.0,324.5,22.92,AI訂單需求暢旺
8021,尖點,上市,51.4,42.5,349.0,429.0,22.92,本月增減百分比或本年增減百分比達50%以上：主要係市場需求增加所致。
2885,元大金,上市,70.2,52.1,47.45,56.5,19.07,本月及本年營業收入淨額較去年同期增加，主係手續費及佣金淨損益增加所致。
3167,大量,上市,146.8,123.0,614.0,728.0,18.57,主係因客戶需求量增加所致
7631,聚賢研發-創,上市,55.4,81.1,108.5,128.5,18.43,本月營收較去年同期成長，主要受惠於新加坡訂單挹注。
6215,和椿,上市,48.5,51.2,101.0,119.5,18.32,自動化零組件及設備 需求增加
8926,台汽電,上市,594.0,300.4,43.8,51.5,17.58,本月及累計合併營業收入較去年同期增加，主要係自115年起因將森霸、星電、星元納入為子公司，故併入合併營收計算。
4934,太極,上市,152.1,130.0,15.65,18.3,16.93,受惠於子公司營收挹注，本月及本年累計營收較去年同期成長。
4989,榮科,上市,54.0,78.7,81.3,94.6,16.36,主係銷售量增加及銅價上漲
3017,奇鋐,上市,111.7,74.7,2200.0,2555.0,16.14,"因客戶需求增加,使營收成長"
3530,晶相光,上市,52.4,33.1,60.6,69.5,14.69,因監控系列產品營收較去年同期大幅成長所致。
6005,群益證,上市,53.3,54.5,28.25,32.25,14.16,主係成交量增加致經紀手續費收入增加
2374,佳能,上市,92.2,32.2,70.8,80.5,13.70,今年較去年同期及累計成長超過50%，主係影像視覺產品、光學相關模組及因客戶專案出貨轉趨穩健。
2542,興富發,上市,1537.7,774.7,36.8,41.65,13.18,本月較去年同期增加，係本期認列「青山440」、「福山案」、「VVS1」及「市政愛&#24742;」等新建案收入所致。
6805,富世達,上市,95.0,51.1,1765.0,1995.0,13.03,較去年同期客戶需求增加
2406,國碩,上市,160.1,159.8,31.5,35.25,11.90,主要係因子公司太陽能導電漿產品、AI伺服器液冷管接件及其零組件之加工與測試服務銷量增加所致。
2425,承啟,上市,61.1,113.5,29.45,32.9,11.71,"1.主係為子公司營業收入增加。2.以上金額包含停業單位營業收入115年1-3月2,357,186仟元,114年1-3月1"
6139,亞翔,上市,47.5,81.4,610.0,679.0,11.31,主要係工程進入施工高峰期，致本月營收較去年同期大幅增加。
2881,富邦金,上市,139.0,69.0,86.7,95.5,10.15,本月及本年累計營業收入較去年本月及去年累計營業收入增加，主係投資相關淨收益增加所致。
1533,車王電,上市,62.4,80.7,30.75,33.85,10.08,"本月營收較去年同期增加179,473仟元，主要係電動巴士營收增加約218,857仟元所致。"
2404,漢唐,上市,100.6,68.9,932.0,1025.0,9.98,"營收較去年同期增加50%以上,主係因本月正在投入進行的專案較去年同期增加所致。"
6446,藥華藥,上市,64.3,56.6,647.0,706.0,9.12,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp. 之營收。
2337,旺宏,上市,96.5,60.0,147.5,159.5,8.14,受市場需求增加影響。
4739,康普,上市,103.6,192.2,88.5,95.5,7.91,本月營收及累計營收較去年同期增加，主係動力電池材料銷售增加。
2382,廣達,上市,88.4,43.2,319.0,343.5,7.68,產品組合變更
8112,至上,上市,191.7,136.8,80.8,86.8,7.43,營收大幅成長，主要係記憶體等零組件價格持續上漲，伺服器及手機客戶拉貨動能強勁所致。
6869,雲豹能源,上市,99.3,69.1,82.8,86.9,4.95,本月及本年累計營收增加，主要係因承包工程案件依進度認列工程收入及發售電業務成長所致。
6477,安集,上市,64.6,78.9,33.05,34.5,4.39,本月模組銷售量較去年同期增加，故整體合併營收上升。
3231,緯創,上市,117.7,177.4,134.5,139.0,3.35,主係客戶需求增加，較去年同期成長。
6239,力成,上市,35.1,34.6,218.5,225.5,3.20,-
6691,洋基工程,上市,112.7,37.1,624.0,643.0,3.04,本月營收較去年同期增加112.73%，主要係因本月正在投入進行的專案較去年同期增加所致。
6024,群益期,上市,33.6,152.9,56.6,58.2,2.83,-
2548,華固,上市,81838.8,19257.4,126.0,129.5,2.78,本公司截至03月累計營收較去年同期增加，係因本年度認列交屋金額較高所致。
4949,有成精密,上市,42.2,38.1,93.1,95.4,2.47,-
