代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-07-13,收盤2026-08-10,報酬%,備註
2059,川湖,上市,220.5,172.1,8080.0,11905.0,47.34,新產品開始出貨，導致年對年營收增幅較大。
3231,緯創,上市,53.8,39.2,143.5,193.0,34.49,主係客戶需求增加，較去年同期成長。
3229,晟鈦,上市,99.1,59.8,38.3,50.9,32.90,本月因客戶需求增加，出貨量增加
3653,健策,上市,57.6,37.7,3195.0,4135.0,29.42,因客戶端需求成長，致本月較去年同期增加百分比達50%以上。
8271,宇瞻,上市,200.6,224.4,183.0,235.5,28.69,本月營收較去年同期增加係因市場價格大幅上漲所致
3022,威強電,上市,80.0,92.4,88.3,113.0,27.97,係因客戶出貨需求增加所致。
6805,富世達,上市,32.7,37.2,1410.0,1755.0,24.47,較去年同期客戶需求增加
2395,研華,上市,73.4,32.1,536.0,667.0,24.44,客戶端積極下單，專案需求與出貨暢旺，帶動整體營收大幅成長。
3017,奇鋐,上市,66.1,60.6,2225.0,2765.0,24.27,"因客戶需求增加,使營收成長"
6414,樺漢,上市,57.0,35.3,388.5,482.0,24.07,AI需求增加、客戶需求強勁
7750,新代,上市,151.4,88.2,2030.0,2485.0,22.41,開發客戶及穩固市場關係成效顯著。
4967,十銓,上市,35.0,112.6,229.5,280.5,22.22,因出貨量增加及銷售單價上漲所致。
3006,晶豪科,上市,328.4,296.8,228.0,275.5,20.83,本期營收較前期成長係因產品市場需求復甦
2027,大成鋼,上市,43.7,42.5,39.5,47.3,19.75,-
6426,統新,上市,103.0,70.1,182.0,217.5,19.51,市場需求漸回溫
2408,南亞科,上市,621.3,730.1,423.0,502.0,18.68,受市場需求成長影響。
2103,台橡,上市,40.2,33.0,23.3,27.5,18.03,-
2030,彰源,上市,33.9,37.9,17.4,20.45,17.53,-
2451,創見,上市,381.5,469.8,252.5,295.5,17.03,本月營收較去年同期增加主係市場價格上漲所致
2388,威盛,上市,34.0,88.1,70.1,80.7,15.12,-
6225,天瀚,上市,846.5,87.3,24.2,27.7,14.46,主要係本期部分專案完成並認列收入所致
7740,熙特爾-創,上市,2232.3,1254.6,156.0,177.0,13.46,本月及本年營收較去年同期營收增加，主要係因依專案進度認列收入所致。
2425,承啟,上市,375.6,95.2,44.05,49.55,12.49,"1.主係為子公司營業收入增加。2.以上金額包含停業單位營業收入115年1-6月7,323,761仟元,114年1-6月2"
2317,鴻海,上市,52.1,39.6,236.5,264.5,11.84,1.主要受惠於伺服器出貨增加　2.消費智能新產品出貨優於去年同期
2347,聯強,上市,135.4,129.3,82.5,91.9,11.39,本月營收較去年同期增加135%，主係受惠於AI建置熱潮帶動資料中心相關產品市場需求所致；另自結數前期調整列入累計營收
3702,大聯大,上市,131.8,82.9,117.0,130.0,11.11,全球科技與能源設施擴建帶動半導體及電子零組件升級，車用、工控需求穩步推進，智能倉儲管理與資訊系統整合服務需求同步擴增
3037,欣興,上市,36.3,32.4,903.0,992.0,9.86,-
2603,長榮,上市,30.0,31.4,195.0,214.0,9.74,-
2360,致茂,上市,73.0,133.1,1850.0,2030.0,9.73,市場需求續強，營收逐季增長
5388,中磊,上市,70.8,70.0,85.4,93.6,9.60,北美市場訂單增溫
2465,麗臺,上市,543.9,135.3,85.9,93.6,8.96,本月及本年累計營收較去年同期分別增加543.89%及158.17%，主係受惠於全球市場之人工智能應用相關產品需求所致。
3036,文曄,上市,188.1,152.7,211.0,229.0,8.53,主要受惠於資料中心、通訊及工業應用需求成長
2025,千興,上市,57.9,562.4,11.85,12.85,8.44,本月及本年營收較去年同期增加，係因鎳價上漲帶動不袗售價提高，另一因素為去年基期較低，造成增加數大幅成長。
2464,盟立,上市,43.0,30.8,166.0,180.0,8.43,-
1808,潤隆,上市,162537.3,87447.7,30.8,33.35,8.28,營收變動主要係本年度完工建案已陸續過戶交屋認列房地出售收入所致。
4576,大銀微系統,上市,62.5,48.0,209.5,226.5,8.11,本月營收較去年同期增加，主係客戶需求較去年同期增加。
4582,聚恆-創,上市,300.7,117.1,26.9,28.95,7.62,主係因採用完工比例法認列進度時點差異所致。
9940,信義,上市,41.4,36.9,19.75,21.25,7.59,-
2344,華邦電,上市,189.9,182.0,167.0,179.5,7.49,受市場供需影響。
3003,健和興,上市,36.1,52.8,64.1,68.7,7.18,-
2072,世紀風電,上市,101.1,81.1,144.5,154.0,6.57,本月營收較去年本月增加，主要係因本月承接工程案件依進度認列收入較高所致
1597,直得,上市,45.2,51.4,140.0,149.0,6.43,-
6446,藥華藥,上市,94.9,108.5,1250.0,1330.0,6.40,本月及本年累計營收較去年成長，主要來自認列子公司PharmaEssentia USA Corp.之營收。
3443,創意,上市,103.7,132.1,4270.0,4530.0,6.09,主要為晶圓產品收入增加
8112,至上,上市,231.2,253.2,87.5,92.4,5.60,營收大幅成長，主要係記憶體等零組件價格持續上漲，伺服器及手機客戶拉貨動能強勁所致。
6177,達麗,上市,1322.2,149.2,46.1,48.5,5.21,本期營收較去年同期上升，主係本期「後壁田段三」完工過戶所致。
2539,櫻花建,上市,79.5,418.9,40.95,42.85,4.64,無異常。本月有「櫻花市鎮之櫻」、「櫻花昕光之櫻」建案陸續過戶中。
2606,裕民,上市,35.5,41.8,63.9,66.8,4.54,-
6606,建德工業,上市,30.2,37.2,25.4,26.4,3.94,-
2359,所羅門,上市,35.6,66.8,148.0,153.5,3.72,-
6491,晶碩,上市,33.9,36.7,365.5,379.0,3.69,-
6531,愛普*,上市,59.5,89.3,893.0,923.0,3.36,因市場需求相對增加所致
2383,台光電,上市,120.7,114.6,5125.0,5290.0,3.22,受惠於AI伺服器成長力道
8374,羅昇,上市,39.8,42.5,86.4,88.9,2.89,-
6214,精誠,上市,76.9,45.8,141.0,144.5,2.48,6月同期營收增29.3億元。主因半導體軟硬體服務增20億元，金控及政府大型專案驗收增4億元，大陸及香港營收增3億元。
3706,神達,上市,80.9,49.3,90.8,92.9,2.31,本月營收較去年同期增長係超大規模雲端資料中心及雲端服務客戶需求持續增加。另在車用電子、智慧物聯及車載資通訊出貨維持成長。
6579,研揚,上市,47.1,48.8,161.0,164.5,2.17,自115年5月起新增合併子公司AAEON Technology 株式&#20250;社。
6472,保瑞,上市,39.2,40.2,422.0,431.0,2.13,"停業單位營收累計為1,927千元"
3189,景碩,上市,32.3,33.0,819.0,836.0,2.08,-
