代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-06-11,收盤2026-07-13,報酬%,備註
2305,全友,上市,97.8,81.1,22.85,39.6,73.30,"受惠於AI及大數據發展,光電子設備需求強勁"
6834,天二科技,上市,58.7,32.2,76.5,129.0,68.63,主係市場終端需求增加
8046,南電,上市,35.8,39.5,807.0,1270.0,57.37,-
7610,聯友金屬-創,上市,462.2,345.3,1555.0,2425.0,55.95,5月單月及累積合併營收較去年同期分別增加462%及435%，主要在於鎢製品出貨價格較去年同期增加所致。
6446,藥華藥,上市,108.5,68.3,934.0,1250.0,33.83,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp.之營收。
2369,菱生,上市,38.7,30.2,31.9,41.15,29.00,-
3016,嘉晶,上市,37.3,32.8,104.0,133.5,28.37,-
2059,川湖,上市,172.1,79.1,6400.0,8080.0,26.25,新產品開始出貨，導致年對年營收增幅較大。
2408,南亞科,上市,730.1,717.3,340.0,423.0,24.41,受市場需求成長影響。
2887,台新新光金,上市,317.2,673.6,28.75,35.75,24.35,本年度新增新光子公司
2890,永豐金,上市,82.7,87.4,33.25,40.2,20.90,本月及本年累計營業收入較去年本月及去年累計營業收入增加，係因利息收入、手續費收入及有價證券評價利益增加所致。
2425,承啟,上市,95.2,87.8,36.45,44.05,20.85,"1.主係為子公司營業收入增加。2.以上金額包含停業單位營業收入115年1-5月5,184,579仟元,114年1-5月2"
2316,楠梓電,上市,39.1,74.3,153.5,185.5,20.85,-
6139,亞翔,上市,103.3,70.6,732.0,883.0,20.63,主要係工程進入施工高峰期，致本月營收較去年同期大幅增加。
6901,鑽石投資,上市,407.5,331.1,16.05,18.75,16.82,營業收入為股利收入及投資標的之評價損益(含已實現及未實現)，投資標的股數及公允價值變動情形，請參考本公司網站投資人專區。
2363,矽統,上市,88.8,87.2,56.4,65.5,16.13,季節性影響、115年4月起新增合併個體廈門凌陽華芯科技股份有限公司營收
1714,和桐,上市,84.8,71.7,14.4,16.65,15.62,115年5月營收較去年同期增加達50%以上，主係產品銷量、售價皆較去年同期增加。
2395,研華,上市,32.1,34.6,464.0,536.0,15.52,-
8438,昶昕,上市,49.8,36.4,80.0,91.8,14.75,-
7631,聚賢研發-創,上市,140.8,68.8,127.0,145.0,14.17,本月營收較去年同期成長，主要受惠於新加坡訂單挹注。
8016,矽創,上市,39.8,37.2,286.5,327.0,14.14,-
6909,創控,上市,51.3,54.8,43.7,49.85,14.07,依客戶需求出貨認列收入。
3450,聯鈞,上市,49.9,45.5,452.5,515.0,13.81,-
6691,洋基工程,上市,82.3,66.7,637.0,725.0,13.81,本月營收較去年同期增加82.36%，主要係因本月正在投入進行的專案較去年同期增加所致。
2465,麗臺,上市,135.3,175.8,75.9,85.9,13.18,本月及本年累計營收較去年同期分別增加135.34%及118.96%，主係受惠於全球市場之人工智能應用相關產品需求所致。
2449,京元電子,上市,36.6,34.5,272.0,307.0,12.87,"以上不含停業部門營收:115年5月0仟元暨114年5月0仟元;115年1~5月0仟元暨114年1~5月985,800仟元"
8131,福懋科,上市,49.6,40.5,68.7,77.2,12.37,-
6944,兆聯實業,上市,48.2,32.1,937.0,1045.0,11.53,-
3006,晶豪科,上市,296.8,349.2,204.5,228.0,11.49,本期營收較前期成長係因產品市場需求復甦
4771,望隼,上市,33.1,47.2,188.0,209.5,11.44,-
2885,元大金,上市,928.4,324.9,61.6,68.3,10.88,本月及本年營業收入淨額較去年同期增加，主係兌換損益、分離帳戶保險商品資產淨損益、手續費及佣金淨損益增加所致。
2892,第一金,上市,36.7,42.0,30.65,33.65,9.79,-
2467,志聖,上市,74.5,87.0,542.0,595.0,9.78,係因客戶需求提升，以致115年5月單月營收成長率較去年同期增加74.55%；115年累計營收成長率較去年同期增加76.0
2880,華南金,上市,72.5,59.6,35.65,39.0,9.40,本月營業收入較去年本月營業收入增加，主係投資相關淨收益增加所致
6196,帆宣,上市,64.9,46.3,504.0,551.0,9.33,115年5月單月合併營收較去年同期增加，主要係銷貨收入及工程收入增加所致。
2460,建通,上市,71.8,57.6,30.7,33.45,8.96,係因端子產品訂單穩定回流及特殊新型銅材業務量持續增量。
8996,高力,上市,40.0,86.0,1140.0,1240.0,8.77,"115年5月營收較去年同期增加40.03%,主要係板式熱交換器及熱能產品之營業額,較去年同期分別增加24.36%及增加4"
3704,合勤控,上市,31.1,43.4,45.95,49.85,8.49,-
2838,聯邦銀,上市,61.1,62.8,21.65,23.45,8.31,主要係兌換損益較去年同期跌幅較大。
3416,融程電,上市,52.4,56.3,171.0,185.0,8.19,出貨增加
3702,大聯大,上市,82.9,38.7,108.5,117.0,7.83,全球科技與能源設施擴建帶動半導體及電子零組件升級，車用、工控需求穩步推進，智能倉儲管理與資訊系統整合服務需求同步擴增。
2883,凱基金,上市,126.1,144.3,27.75,29.8,7.39,本月及累計營業收入較去年同期增加，主係投資相關淨收益增加所致。
6770,力積電,上市,58.9,32.5,64.4,69.0,7.14,主係客戶需求上升，銷售量增加，銷售價格調漲。
1342,八貫,上市,37.2,44.5,107.0,114.5,7.01,-
2344,華邦電,上市,182.0,182.2,156.5,167.0,6.71,受市場供需影響。
2388,威盛,上市,88.1,84.8,65.7,70.1,6.70,銷貨增加
4576,大銀微系統,上市,48.0,40.3,196.5,209.5,6.62,-
2515,中工,上市,57.1,52.6,12.7,13.5,6.30,碧硯閣陸續交屋，去年同期無房地銷售收入所致。
2889,國票金,上市,147.9,3640.8,14.95,15.85,6.02,本月透過損益按公允價值衡量之金融資產淨損益及手續費淨損益較去年同期增加約9.46億元。
2520,冠德,上市,52.3,67.0,33.4,35.35,5.84,115年05月份營業收入較去年同期增加50%以上，主因係案件結算入帳所致。
2345,智邦,上市,56.6,53.9,2275.0,2405.0,5.71,客戶需求增加
5880,合庫金,上市,37.4,65.5,23.85,25.2,5.66,-
2539,櫻花建,上市,418.9,559.1,38.9,40.95,5.27,無異常。本月有「櫻花知築」、「櫻花市鎮之櫻」、「櫻花昕光之櫻」建案陸續過戶中。
6166,凌華,上市,79.5,63.2,128.0,134.5,5.08,主要受惠訂單需求，帶動公司各產品線出貨全面成長。
9946,三發地產,上市,312.1,7453.4,17.8,18.7,5.06,本月及累月營收較去年同期增加，係因114年12月預售建案完工本月交屋入帳所致。
3706,神達,上市,49.3,31.9,86.5,90.8,4.97,-
2646,星宇航空,上市,41.2,30.1,20.2,21.2,4.95,-
2101,南港,上市,158.7,150.6,33.0,34.55,4.70,本公告係屬自結數，如與公告財報有所差異請以財報為準，另115.5月營建收入15億/累積營建收入66億元。
6209,今國光,上市,70.7,66.9,79.3,82.8,4.41,客戶需求增加。
2851,中再保,上市,1113.1,605.1,36.45,38.05,4.39,營業收入淨額較去年同期增加，主係淨投資損益增加所致。
3443,創意,上市,132.1,156.8,4105.0,4270.0,4.02,主要為晶圓產品收入增加
4582,聚恆-創,上市,117.1,286.9,25.9,26.9,3.86,主係因採用完工比例法認列進度時點差異所致。
6215,和椿,上市,37.9,86.8,107.0,111.0,3.74,自動化零組件及設備需求增加
7786,東方風能,上市,37.7,52.3,130.0,134.0,3.08,-
4916,事欣科,上市,104.3,50.2,114.5,118.0,3.06,受惠於國防、航太及通訊客戶需求強勁，低軌道衛星產品持續拉貨，本月營收變動達50%以上。
2404,漢唐,上市,85.0,102.2,1195.0,1230.0,2.93,"營收較去年同期增加50%以上,係因本月正在投入進行的專案較去年同期增加所致。"
2455,全新,上市,46.5,37.7,320.0,329.0,2.81,-
7822,倍利科,上市,79.8,78.0,946.0,969.0,2.43,本月認列設備營收較前期多
2382,廣達,上市,94.4,120.7,370.0,378.0,2.16,產品組合變更
2881,富邦金,上市,155.0,219.8,125.5,127.0,1.20,本月及本年累計營業收入較去年本月及去年累計營業收入增加，主係投資相關淨收益增加所致。
4934,太極,上市,281.1,108.4,16.8,17.0,1.19,受惠於子公司營收挹注，本月及累計營收較去年同期成長。
2241,艾姆勒,上市,40.2,65.6,40.05,40.5,1.12,-
1723,中碳,上市,58.4,40.9,85.9,86.5,0.70,本月份合併營業收入較同期增加，主係油價上漲影響部分產品售價所致。
2383,台光電,上市,114.6,93.6,5095.0,5125.0,0.59,受惠於AI伺服器成長力道
5525,順天,上市,406.8,1375.8,22.1,22.2,0.45,本月及本年累計營收較去年同期增加，係因今年母公司ONE 33及緮華完工交屋收入所致
6531,愛普*,上市,89.3,92.9,890.0,893.0,0.34,因市場需求相對增加所致
3652,精聯,上市,42.4,34.5,32.35,32.4,0.15,-
8028,昇陽半導體,上市,46.0,31.1,304.0,303.0,-0.33,-
5388,中磊,上市,70.0,65.5,86.1,85.4,-0.81,北美市場訂單增溫
1418,東華,上市,206.4,59.2,18.7,18.5,-1.07,配合客戶生產線出貨
2356,英業達,上市,35.3,36.5,65.4,64.7,-1.07,-
1808,潤隆,上市,87447.7,6493.7,31.2,30.8,-1.28,營收變動主要係本年度完工建案已陸續過戶交屋認列房地出售收入所致。
2432,倚天酷-創,上市,94.0,130.1,28.4,28.0,-1.41,本月營收較去年營收增加，主係電腦週邊產品挹注成長所致。
2337,旺宏,上市,175.8,153.7,140.0,138.0,-1.43,受市場需求增加影響。
2891,中信金,上市,341.3,1120.6,67.5,66.5,-1.48,係因股市波動，受託買賣手續費收入、有價證券相關出售利益及評價利益、兌換損益(含避險損益)增加所致
1522,堤維西,上市,39.6,53.3,30.9,30.4,-1.62,-
2506,太設,上市,131.0,182.9,9.08,8.89,-2.09,本月交屋較去年同期多
1597,直得,上市,51.4,71.0,143.5,140.0,-2.44,訂單需求增加
2855,統一證,上市,428.4,1002.1,50.9,49.65,-2.46,今年單月營收及累計營收較去年同期增加，主因今年泛自營業務操作獲利優於去年同期所致。
3167,大量,上市,120.3,114.2,847.0,826.0,-2.48,主係因客戶需求量增加所致
9945,潤泰新,上市,72.0,58.8,26.05,25.4,-2.50,主係建案交屋認列及子公司潤弘正於大量施工階段，以致本月營收較去年同期增加。
6206,飛捷,上市,45.2,44.5,132.0,128.5,-2.65,-
2537,聯上發,上市,128.5,5302.6,11.3,11.0,-2.65,本月營收較去年增加，係今年同期認列台北市房地出售收入較高所致。
6177,達麗,上市,149.2,264.8,47.4,46.1,-2.74,本期營收較去年同期上升，主係本期「武東段二」完工過戶所致。
5607,遠雄港,上市,39.0,35.1,52.6,51.1,-2.85,-
7750,新代,上市,88.2,94.9,2090.0,2030.0,-2.87,開發客戶及穩固市場&#38359;係成效顯現，成果持續發酵 。
8374,羅昇,上市,42.5,62.7,89.1,86.4,-3.03,-
3209,全科,上市,32.1,83.8,61.8,59.9,-3.07,-
4142,國光生,上市,51.9,474.4,17.6,17.05,-3.12,累計及當月月營收較去年同期增加主因為外銷勞務增加所致。
2945,三商家購,上市,40.9,38.5,42.45,40.9,-3.65,-
2882,國泰金,上市,130.6,153.9,100.5,96.7,-3.78,本月及本年營業收入淨額較去年同期增加，主係投資收益增加所致。
2548,華固,上市,9203.5,28466.0,104.0,100.0,-3.85,本公司截至05月累計營收較去年同期增加，係因本年度認列交屋金額較高所致。
3028,增你強,上市,102.5,106.3,74.2,71.2,-4.04,"主要係因記憶體價格上漲,客戶需求增加所致。"
2495,普安,上市,87.2,36.7,49.65,47.4,-4.53,訂單需求增加及配合客戶排程出貨所致。
1449,佳和,上市,98.7,75.5,14.25,13.6,-4.56,營收回穩及合併子公司營收
1316,上曜,上市,153.0,115.5,10.8,10.3,-4.63,主因子公司營收上升，致本年度營收較去年同期增加。
2542,興富發,上市,2114.2,4077.7,45.35,43.25,-4.63,本期較去年同期增加，係本期認列「青山440」、「福山案」、「復興北」、「VVS1」、「市政愛&#24742;」等新建案收
3017,奇鋐,上市,60.6,71.6,2335.0,2225.0,-4.71,"因客戶需求增加,使營收成長"
7769,鴻勁,上市,83.6,111.8,7055.0,6705.0,-4.96,主要係因市場需求較去年同期成長所致。
1533,車王電,上市,54.9,72.8,38.1,36.05,-5.38,"本月營收較去年同期增加171,107仟元，主要係電動巴士營收增加約164,153仟元所致。"
2820,華票,上市,89.4,46.4,17.6,16.65,-5.40,主係本年票債淨利息收入及金融商品獲利增加。
2606,裕民,上市,41.8,38.7,67.7,63.9,-5.61,-
2406,國碩,上市,121.2,143.3,39.4,37.15,-5.71,主要係因子公司太陽能導電漿產品、AI伺服器液冷管接件及其零組件之加工與測試服務銷量增加所致。
3231,緯創,上市,39.2,112.0,152.5,143.5,-5.90,主係客戶需求增加，較去年同期成長。
6239,力成,上市,30.2,32.5,333.0,312.5,-6.16,-
3432,台端,上市,218.0,39.4,19.45,18.2,-6.43,主係因增加新產品出貨所致
6426,統新,上市,70.1,76.5,195.5,182.0,-6.91,市場需求漸回溫
8271,宇瞻,上市,224.4,360.8,197.0,183.0,-7.11,本月營收較去年同期增加係因市場價格大幅上漲所致
2027,大成鋼,上市,42.5,37.7,42.55,39.5,-7.17,-
7740,熙特爾-創,上市,1254.6,2905.2,169.0,156.0,-7.69,本月及本年營收較去年同期營收增加，主要係因依專案進度認列收入所致。
6005,群益證,上市,155.5,301.6,38.3,35.35,-7.70,主係自營操作獲利增加及成交量增加致經紀手續費收入增加
6776,展眥篕,上市,52.0,46.0,59.5,54.7,-8.07,主要係因持續擴大營運版圖，自115.4.1起新增併入子公司納入合併報表範圍
8926,台汽電,上市,768.2,532.8,75.5,69.3,-8.21,本月及累計合併營業收入較去年同期增加，主要係自115年起因將森霸、星電、星元納入為子公司，故併入合併營收計算。
