代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-03-11,收盤2026-04-09,報酬%,備註
2542,興富發,上市,774.7,2480.6,37.0,36.15,-2.30,本月較去年同期增加，係本期認列「青山440」、「福山案」、「VVS1」及「市政愛&#24742;」等新建案收入所致。
2059,川湖,上市,31.1,43.9,3355.0,3275.0,-2.38,-
6191,精成科,上市,71.0,93.4,98.0,95.3,-2.76,本公司自114年4月8日起新增合併子公司Lincstech，致使本月營收增幅達50%以上。
6239,力成,上市,34.6,43.0,215.5,209.5,-2.78,-
3006,晶豪科,上市,128.4,129.4,159.5,155.0,-2.82,本期營收較前期成長係因產品市場需求復甦
9946,三發地產,上市,34244.5,18810.5,17.55,17.0,-3.13,本月及累月營收較去年同期增加，係因114年12月預售建案完工本月交屋入帳所致。
8112,至上,上市,136.8,72.5,85.4,82.6,-3.28,營收變化原因說明：營收大幅成長，主要記憶體等零組件價格持續上漲，伺服器及手機客戶等客戶拉貨動能增加所致。
6885,全福生技,上市,1758.8,2890.9,24.9,24.0,-3.61,諮詢服務收入、含子公司營業收入
2208,台船,上市,38.9,74.8,21.35,20.55,-3.75,累計營收變動主係造船業務營收增加所致。
5469,瀚宇博,上市,38.6,59.1,88.6,85.1,-3.95,本公司之子公司精成科技自114年4月8日起新增合併子公司Lincstech，致使本月營收較去年同期增加。
1587,吉茂,上市,42.8,49.7,37.7,36.2,-3.98,-
3432,台端,上市,477.0,451.1,16.95,16.25,-4.13,主係因增加新產品出貨所致
6691,洋基工程,上市,37.1,80.4,626.0,600.0,-4.15,本年營收較去年同期增加58.74%，主要係因本年正在投入進行的專案較去年同期增加所致。
2374,佳能,上市,32.2,109.5,72.4,69.0,-4.70,今年較去年累計成長71.26%，主係影像視覺產品、光學相關模組及因客戶專案出貨轉趨穩健。
8926,台汽電,上市,300.4,1067.2,45.7,43.25,-5.36,本月及累計合併營業收入較去年同期增加，主要係自115年起因將森霸、星電、星元納入為子公司，故併入合併營收計算。
3535,晶彩科,上市,4841.7,9477.2,129.0,122.0,-5.43,本公司以銷售機台為主，115年2月出售機台較去年同期多，此為產業特性，尚屬正常
2425,承啟,上市,113.5,43.9,28.25,26.7,-5.49,"1.主係為子公司營業收入增加。2.以上金額包含停業單位營業收入115年1-2月1,104,578仟元,114年1-2月4"
6446,藥華藥,上市,56.6,49.8,670.0,631.0,-5.82,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp.之營收。
7631,聚賢研發-創,上市,81.1,193.8,118.0,110.0,-6.78,本月營收較去年同期成長，主要受惠於新加坡訂單挹注。
6614,資拓宏宇,上市,39.1,155.7,43.5,40.55,-6.78,1月有大型政府專案驗收，故本年累計合併營收較去年增加超過50%。
2406,國碩,上市,159.8,188.6,34.15,31.6,-7.47,主要係因子公司太陽能導電漿產品、AI伺服器液冷管接件及其零組件之加工與測試服務銷量增加所致。
1316,上曜,上市,108.6,233.5,13.05,12.05,-7.66,主因子公司營收上升，致本月及本年度營收較去年同期增加。
6589,台康生技,上市,100.6,117.0,59.1,54.4,-7.95,本月營收較去年同期增加主係委託研究開發暨生產服務(CDMO)業務成長及EG1206A授權簽約金逐步認列所致。
1762,中化生,上市,161.3,40.0,30.0,27.6,-8.00,客戶訂單需求增加，故當月及本年度累計營收皆較去年同期成長。
2363,矽統,上市,210.9,171.6,51.5,47.15,-8.45,季節性影響
2009,第一銅,上市,41.9,56.8,44.25,39.9,-9.83,-
4540,全球傳動,上市,34.4,85.1,47.9,43.1,-10.02,因傳動系統元件產品訂單需求上升，故使本期營業收入增加。
2449,京元電子,上市,41.0,41.3,306.0,275.0,-10.13,"以上營收不含停業部門營收:115年2月0仟元暨114年2月0仟元;115年1~2月0仟元暨114年1~2月985,800"
6215,和椿,上市,51.2,80.8,109.5,97.5,-10.96,自動化零組件及設備 需求增加
9955,佳龍,上市,95.6,56.5,35.1,30.9,-11.97,"營收較去年同期增加,主要係因本期貴金屬銷售量增加所致"
2331,精英,上市,67.0,34.0,24.6,21.55,-12.40,本月較去年同期營收增加係因客戶需求增加。
6669,緯穎,上市,103.4,121.9,4190.0,3580.0,-14.56,主要係客戶需求強勁
3149,正達,上市,72.6,52.8,48.05,40.8,-15.09,主係訂單需求增加。
2404,漢唐,上市,68.9,58.9,1085.0,907.0,-16.41,"營收較去年同期增加50%以上,係因本月正在投入進行的專案較去年同期增加所致。"
4934,太極,上市,130.0,118.4,19.45,16.15,-16.97,受惠於子公司營收挹注，本年累計營收較去年同期成長。
6861,睿生光電,上市,44.0,45.5,163.5,135.0,-17.43,-
7740,熙特爾-創,上市,515.2,604.3,202.0,166.0,-17.82,本月及本年營收較去年同期營收增加，主要係因依專案進度認列收入所致。
2424,隴華,上市,90.1,53.6,32.0,25.9,-19.06,本月增加因本月銷售監控系統軟硬體增加。本年增加因銷售監控系統軟硬體增加。
2408,南亞科,上市,586.7,608.0,254.0,205.0,-19.29,受市場需求復甦影響。
2344,華邦電,上市,88.5,94.2,114.0,91.0,-20.18,受市場供需影響。
