代號,名稱,市場,當月YoY%,上月YoY%,收盤2026-02-11,收盤2026-03-12,報酬%,備註
2485,兆赫,上市,162.7,129.0,36.8,60.8,65.22,因客戶端產品驗證通過，正式進入量產與備貨階段，帶動出貨量顯著提升，致使本月營收較去年同期大幅成長。
3030,德律,上市,38.5,37.4,185.0,278.0,50.27,-
4989,榮科,上市,170.3,83.5,50.2,71.9,43.23,主係銷售量增加及銅價上漲
2360,致茂,上市,72.1,59.3,1050.0,1495.0,42.38,訂單能見度高、營運續強
8271,宇瞻,上市,233.3,33.8,118.0,158.0,33.90,本月營收較去年同期增加係因市場價格大幅上漲所致
2467,志聖,上市,124.1,39.2,273.0,365.0,33.70,係因客戶需求提升，以致115年01月營收成長率較去年同期增加124.10%。
3167,大量,上市,119.6,61.0,271.5,355.0,30.76,主係因客戶需求量增加所致
6515,穎崴,上市,32.6,103.8,5005.0,6330.0,26.47,-
7740,熙特爾-創,上市,604.3,3403.8,160.0,198.0,23.75,本月及本年營收較去年同期營收增加，主要係因依專案進度認列收入所致。
8112,至上,上市,72.5,32.3,72.3,89.2,23.37,營收大幅成長，主要記憶體等零組件價格上漲，伺服器及手機客戶等客戶拉貨動能增加所致。
6531,愛普*,上市,93.8,76.8,396.0,485.5,22.60,因市場需求相對增加所致
7610,聯友金屬-創,上市,422.7,227.3,274.0,332.0,21.17,1月單月合併營收較去年同期增加422.68%，主要在於鎢酸鈉出貨價格及數量較去年同期增加，以及產品品項增加所致。
3535,晶彩科,上市,9477.2,959.7,103.5,124.0,19.81,本公司以銷售機台為主，115年1月出售機台較去年同期多，此為產業特性，尚屬正常
6805,富世達,上市,115.8,39.3,1545.0,1840.0,19.09,較去年同期客戶需求增加
2383,台光電,上市,55.5,35.8,2195.0,2600.0,18.45,受惠於AI伺服器成長力道
4934,太極,上市,118.4,33.7,16.25,19.1,17.54,受惠於子公司營收挹注，本月營收較去年同期成長。
2406,國碩,上市,188.6,188.2,29.55,34.65,17.26,主要係因子公司太陽能導電漿產品、AI伺服器液冷管接件及其零組件之加工與測試服務銷量增加所致。
3017,奇鋐,上市,150.0,110.2,1605.0,1875.0,16.82,"因客戶需求增加,使營收成長"
8021,尖點,上市,59.2,44.3,203.0,236.5,16.50,在市場需求增加與產品結構持續升級的雙重推動下，2026年1月營收較去年同期增加59.17%
6944,兆聯實業,上市,51.6,73.1,677.0,787.0,16.25,本公司因推進台灣專案工程，致本月營收較去年同期明顯成長。
2404,漢唐,上市,58.9,41.3,923.0,1065.0,15.38,"營收較去年同期增加50%以上,係因本月正在投入進行的專案較去年同期增加所致。"
8046,南電,上市,45.0,46.6,416.0,468.5,12.62,-
4739,康普,上市,109.0,98.1,68.0,75.9,11.62,本月營收較去年同期增加，主係動力電池材料銷售增加。
2357,華碩,上市,80.0,43.6,523.0,581.0,11.09,受伺服器市場需求成長所致。
1529,樂事綠能,上市,277.2,145.1,24.95,27.5,10.22,"本期因台電交貨及客戶之儲能案配電盤銷貨,故較去年同期增幅大"
2368,金像電,上市,68.5,46.3,829.0,911.0,9.89,接單量增加
9955,佳龍,上市,56.5,100.2,32.55,35.7,9.68,"營收較去年同期增加,主要係因本期貴金屬及五金售量增加所致"
6213,聯茂,上市,42.2,30.2,121.0,132.5,9.50,-
7750,新代,上市,102.9,51.4,1230.0,1345.0,9.35,114年全年度開發客戶、穩固市場關係策略成功。交易走勢表現優異。
6782,視陽,上市,49.8,37.0,173.0,189.0,9.25,-
6669,緯穎,上市,121.9,143.8,3740.0,4085.0,9.22,主要係客戶需求強勁
2308,台達電,上市,32.9,38.6,1260.0,1370.0,8.73,-
2059,川湖,上市,43.9,53.5,3030.0,3290.0,8.58,-
5484,慧友,上市,138.0,471.6,37.8,40.9,8.20,係因有接到代工訂單
2548,華固,上市,34609.6,11587.0,108.5,116.5,7.37,本公司截至01月累計營收較去年同期增加，係因本年度認列交屋金額較高所致。
1312,國喬,上市,84.4,64.7,13.1,14.05,7.25,114年三月重要子公司開始投產銷售，不論單月營收或累計營收，均較去年同期增加，惟國際經濟環境仍紛擾，市場利差不如預期。
9946,三發地產,上市,18810.5,249.8,16.65,17.8,6.91,本月及累月營收較去年同期增加，係因本月預售建案完工交屋入帳所致。
6691,洋基工程,上市,80.4,68.2,599.0,636.0,6.18,本月營收較去年同期增加80.45%，主要係因本月正在投入進行的專案較去年同期增加所致。
3006,晶豪科,上市,129.4,107.8,154.0,163.5,6.17,本期營收較前期成長係因產品市場需求復甦
6994,富威電力,上市,114.4,472.3,82.0,86.6,5.61,係因依進度認列工程收入所致
2369,菱生,上市,61.9,36.8,25.25,26.65,5.54,主要係因客戶需求提升
6831,邁科,上市,72.0,56.0,287.5,299.0,4.00,業績成長
2377,微星,上市,33.7,33.9,90.7,94.3,3.97,-
2345,智邦,上市,71.9,67.6,1450.0,1505.0,3.79,客戶需求增加
2344,華邦電,上市,94.2,53.3,105.5,109.0,3.32,受市場供需影響。
2451,創見,上市,440.6,242.0,219.0,225.5,2.97,本月營收較去年同期增加主係市場價格上漲所致
